Best parameters:
n_estimators 109
min_samples_per_leaf 4
max_samples 41759
Result: 6.695769819147287

All:
[195, 8, 46745] 7.469522639746555
[194, 9, 37999] 7.846588901953788
[102, 5, 46023] 6.927489392529587
[106, 6, 42786] 7.3823133372857015
[121, 7, 24493] 8.306342550277177
[177, 7, 25434] 8.34723908783148
[120, 8, 25157] 8.284367928386034
[103, 8, 29285] 8.441590892264953
[177, 8, 40137] 7.83880533602287
[102, 7, 46151] 7.3200175929428815
[109, 4, 41759] 6.695769819147287
[103, 5, 40544] 7.132304381660082
[101, 5, 37938] 7.187814760402715
[109, 5, 34732] 7.152105899670697
