Best parameters:
cutoff 0.33453090768690447
Result: 27.921294799693754

All:
[0.682380493199923] 29.702786278432367
[0.6652016958868623] 29.819959138262437
[0.7973591109865589] 47.066422328270846
[0.6830960376694158] 30.220723200031813
[0.839916618728564] 120.29707624028345
[0.9208092167855074] 254.02415075314093
[0.6347461353833289] 28.853123167685442
[0.33453090768690447] 27.921294799693754
[0.4526815575448366] 28.458107839667036
[0.5803006510133318] 29.28154383029521
[0.6915047569887088] 30.161636433461865
[0.052051985645088394] 28.581257768873428
[0.2808102357410463] 28.621195854242107
[0.18335949418517716] 28.59498557062679
